sample,group,comparison
REF1,Control,AKI_vs_Control
REF2,Control,AKI_vs_Control
REF3,Control,AKI_vs_Control
REF4,Control,AKI_vs_Control
REF5,Control,AKI_vs_Control
REF6,Control,AKI_vs_Control
REF7,Control,AKI_vs_Control
REF8,Control,AKI_vs_Control
REF9,Control,AKI_vs_Control
AKI7,AKI,AKI_vs_Control
AKI1,AKI,AKI_vs_Control
AKI2,AKI,AKI_vs_Control
AKI3,AKI,AKI_vs_Control
AKI4,AKI,AKI_vs_Control
AKI5,AKI,AKI_vs_Control
AKI11,AKI,AKI_vs_Control
AKI12,AKI,AKI_vs_Control
AKI6,AKI,AKI_vs_Control
AKI9,AKI,AKI_vs_Control
AKI10,AKI,AKI_vs_Control
AKI8,AKI,AKI_vs_Control
AKI13,AKI,AKI_vs_Control
AKI14,AKI,AKI_vs_Control
AKI15,AKI,AKI_vs_Control
AKI16,AKI,AKI_vs_Control
AKI17,AKI,AKI_vs_Control
AKI18,AKI,AKI_vs_Control
AKI19,AKI,AKI_vs_Control
AKI20,AKI,AKI_vs_Control
AKI21,AKI,AKI_vs_Control
AKI22,AKI,AKI_vs_Control
AKI23,AKI,AKI_vs_Control
AKI24,AKI,AKI_vs_Control
AKI25,AKI,AKI_vs_Control
AKI26,AKI,AKI_vs_Control
AKI27,AKI,AKI_vs_Control
AKI28,AKI,AKI_vs_Control
AKI29,AKI,AKI_vs_Control
AKI30,AKI,AKI_vs_Control
AKI31,AKI,AKI_vs_Control
AKI32,AKI,AKI_vs_Control
AKI33,AKI,AKI_vs_Control
AKI34,AKI,AKI_vs_Control
AKI35,AKI,AKI_vs_Control
AKI36,AKI,AKI_vs_Control
AKI37,AKI,AKI_vs_Control
AKI38,AKI,AKI_vs_Control
AKI39,AKI,AKI_vs_Control
